"Region","1990","2019","Absolute_Change","Percent_Change","Annual_Growth_Rate"
"Banat",1467,1603.7,136.7,9.31833674164963,0.307692958999306
"Bucovina",1300.4,1301.1,0.699999999999818,0.0538295908950952,0.00185571059629908
"Crișana",1190,1260.6,70.5999999999999,5.93277310924369,0.198937242130626
"Dobrogea",407.9,417.5,9.60000000000002,2.35351801912234,0.0802476914770311
"Maramureș",986.3,989.7,3.39999999999998,0.344722701003749,0.0118672521809415
"Moldova",2894.4,2926.3,31.9000000000001,1.10212824765064,0.0378036635541701
"Muntenia",2588.4,2597.2,8.79999999999973,0.339978365013125,0.0117041933397566
"Oltenia",2403,2413.7,10.7000000000003,0.44527673741158,0.0153214602920171
"Transilvania",5757,6101.9,344.9,5.99096751780441,0.200834825580709
