Year,Region,Total_Sheep_Damage,Bear_Sightings_Sheep
2008,Bucovina,0,166
2008,Maramureș,0,23
2008,Muntenia,14,1186
2008,Transilvania,4,724
2009,Crisana,1,448
2009,Dobrogea,1,421
2009,Maramureș,2,112
2009,Moldova,0,69
2009,Muntenia,12,1051
2009,Transilvania,7,724
2010,Dobrogea,3,30
2010,Maramureș,1,531
2010,Muntenia,3,131
2010,Transilvania,4,974
2011,Bucovina,0,181
2011,Dobrogea,13,229
2011,Maramureș,0,26
2011,Muntenia,7,734
2011,Transilvania,3,399
2012,Bucovina,1,77
2012,Crișana,2,484
2012,Dobrogea,4,375
2012,Maramureș,0,535
2012,Moldova,0,26
2012,Muntenia,19,2520
2012,Transilvania,11,2246
2013,Bucovina,0,0
2013,Crișana,6,163
2013,Dobrogea,1,338
2013,Maramureș,1,32
2013,Moldova,0,89
2013,Muntenia,12,1854
2013,Transilvania,6,724
2014,Bucovina,0,87
2014,Crișana,1,346
2014,Dobrogea,4,100
2014,Maramureș,3,479
2014,Moldova,0,12
2014,Muntenia,10,674
2014,Transilvania,2,1839
2015,Dobrogea,1,303
2015,Moldova,0,59
2015,Muntenia,17,2074
2015,Transilvania,2,182
2016,Bucovina,0,0
2016,Crișana,0,27
2016,Dobrogea,0,248
2016,Maramureș,0,99
2016,Moldova,0,89
2016,Muntenia,30,2462
2016,Transilvania,3,981
